0
//EventName              DropZen   ItemDropRate   ItemDropCount   SetItemDropRate   ItemDropType   Fireworks	
"Gold Chest"		 1000	   100		  1		  0		    0		   0
end

1
//Section   Type   MinLevel   MaxLevel   Skill   Luck   Option   Excellent
14          70     0          0          0       0      0        0
14          71     0          0          0       0      0        0
14          86     0          0          0       0      0        0
14          85     0          0          0       0      0        0
14          87     0          0          0       0      0        0
12          15     0          0          0       0      0        0
14          14     0          0          0       0      0        0
14          13     0          0          0       0      0        0
14          16     0          0          0       0      0        0	
end
