//Index   Flag   Map   X      Y      TX      TY      TargetGate   TargetDir   MinLevel   MaxLevel   MinReset   MaxReset   AccountLevel
1         1      0     121    232    123     233     2            0           20         400        *          *          0
2         2      1     107    247    110     247     0            1           20         400        *          *          0
3         1      1     108    248    109     248     4            0           0          400        *          *          0
4         2      0     121    231    123     231     0            1           0          400        *          *          0
5         1      1     239    149    239     150     6            0           20         400        *          *          0
6         2      1     231    126    234     127     0            1           20         400        *          *          0
7         1      1     232    127    233     128     8            0           20         400        *          *          0
8         2      1     240    148    241     151     0            3           20         400        *          *          0
9         1      1     2      17     2       18      10           0           20         400        *          *          0
10        2      1     3      83     4       86      0            3           20         400        *          *          0
11        1      1     2      84     2       85      12           0           20         400        *          *          0
12        2      1     3      16     6       17      0            3           20         400        *          *          0
13        1      1     5      34     6       34      14           0           20         400        *          *          0
14        2      1     29     125    30      126     0            1           20         400        *          *          0
15        1      1     29     127    30      127     16           0           20         400        *          *          0
16        2      1     5      32     7       33      0            1           20         400        *          *          0
17        0      0     133    118    151     135     0            0           0          400        *          *          0
18        1      0     5      38     6       41      19           0           15         400        *          *          0
19        2      2     242    34     243     37      0            7           15         400        *          *          0
20        1      2     244    34     245     37      21           0           0          400        *          *          0
21        2      0     7      38     8       41      0            3           0          400        *          *          0
22        0      2     197    35     218     50      0            0           15         400        *          *          0
23        1      0     213    246    217     247     24           0           10         400        *          *          0
24        2      3     148    5      155     6       0            5           10         400        *          *          0
25        1      3     148    3      155     4       26           0           10         400        *          *          0
26        2      0     213    244    217     245     0            1           10         400        *          *          0
27        0      3     171    108    177     117     0            0           0          400        *          *          0
28        1      2     2      248    3       249     29           0           40         400        *          *          0
29        2      4     162    2      166     3       0            5           40         400        *          *          0
30        1      4     190    6      191     8       31           0           40         400        *          *          0
31        2      4     241    237    244     238     0            1           40         400        *          *          0
32        1      4     166    163    167     166     33           0           40         400        *          *          0
33        2      4     86     166    87      168     0            3           40         400        *          *          0
34        1      4     132    245    135     246     35           0           50         400        *          *          0
35        2      4     87     86     88      89      0            3           50         400        *          *          0
36        1      4     132    135    135     136     37           0           50         400        *          *          0
37        2      4     128    53     131     54      0            1           50         400        *          *          0
38        1      4     131    15     132     18      39           0           50         400        *          *          0
39        2      4     52     53     55      54      0            1           50         400        *          *          0
40        1      4     6      5      7       8       41           0           50         400        *          *          0
41        2      4     8      85     9       87      0            1           50         400        *          *          0
42        0      4     203    70     213     81      0            0           40         400        *          *          0
43        1      4     162    0      166     1       44           0           15         400        *          *          0
44        2      2     2      246    3       247     0            2           15         400        *          *          0
45        1      3     242    240    245     243     46           0           60         400        *          *          0
46        2      7     14     12     15      13      0            3           60         400        *          *          0
47        1      7     9      9      11      12      48           0           60         400        *          *          0
48        2      3     240    240    241     243     0            7           60         400        *          *          0
49        0      7     15     11     27      23      0            0           60         400        *          *          0
50        0      6     72     140    73      181     0            0           0          400        *          *          0
51        0      6     59     153    59      153     0            0           0          400        *          *          0
52        0      6     59     164    59      165     0            0           0          400        *          *          0
53        1      7     14     225    15      230     54           0           130        400        *          *          0
54        2      8     248    40     251     44      0            7           0          400        *          *          0
55        1      8     246    40     247     44      56           0           130        400        *          *          0
56        2      7     16     225    17      230     0            3           0          400        *          *          0
57        0      8     187    54     203     69      0            0           60         400        *          *          0
58        0      9     133    91     141     99      0            0           10         400        *          *          0
59        0      9     135    162    142     170     0            0           10         400        *          *          0
60        0      9     62     150    70      158     0            0           10         400        *          *          0
61        0      9     66     84     74      92      0            0           10         400        *          *          0
62        1      4     17     250    19      250     63           0           160        400        *          *          0
63        2      10    14     13     16      13      0            5           160        400        *          *          0
64        1      10    14     12     16      12      65           0           50         400        *          *          0
65        2      4     17     249    19      249     0            1           50         400        *          *          0
66        0      11    12     5      14      10      0            0           0          400        *          *          0
67        0      12    12     5      14      10      0            0           0          400        *          *          0
68        0      13    12     5      14      10      0            0           0          400        *          *          0
69        0      14    12     5      14      10      0            0           0          400        *          *          0
70        0      15    12     5      14      10      0            0           0          400        *          *          0
71        0      16    12     5      14      10      0            0           0          400        *          *          0
72        0      2     23     27     27      24      0            0           15         400        *          *          0
