//Index   Group   Rank   MinLevel   MaxLevel   MainValue1   MainValue2   MainValue3   MainValue4   MainValue5   MainValue6   MainValue7   MainValue8   MainValue9   MainValue10   MainValue11   MainValue12   MainValue13   MainValue14   MainValue15   MainValue16   MainValue17   MainValue18   MainValue19   MainValue20   RelatedSkill   ReplaceSkill   RequireSkill   RequireSkill   DW      DK      FE      MG      DL      SU      RF
300       1       1      1          20         12.04	    20.18	 27.76	      34.80	   41.31	47.33	     52.86	  57.94	       62.57	    66.78	  70.59	        74.02	      77.09	    79.82	  82.23	        84.34	      86.16	    87.73	  89.05	        90.16         0              0              0              0              1       1       1       1       1       1       0
301       1       1      1          20         614.08	    1029.20	 1415.70      1774.61	   2106.94	2413.73	     2695.98	  2954.73      3190.99	    3405.79	  3600.15	3775.09	      3931.63	    4070.80	  4193.62	4301.10	      4394.28	    4474.17	  4541.79	4598.18       0              0              0              0              4       4       4       4       4       4       0
302       1       2      1          20         511.73       857.67       1179.75      1478.84      1755.79      2011.44      2246.65      2462.27      2659.16      2838.16       3000.13       3145.91       3276.36       3392.33       3494.68       3584.25       3661.90       3728.47       3784.83       3831.81       0              0              0              0              6       6       6       6       6       6       0
303       1       2      1          20         1.81	    3.03	 4.16	      5.22	   6.20	        7.10	     7.93	  8.69	       9.39	    10.02	  10.59	        11.10	      11.56	    11.97	  12.33	        12.65	      12.92	    13.16	  13.36	        13.52         0              0              0              0              7       7       7       7       7       7       0
304       1       2      1          20         1.20	    2.02	 2.78	      3.48	   4.13	        4.73	     5.29	  5.79	       6.26	    6.68	  7.06	        7.40	      7.71	    7.98	  8.22	        8.43	      8.62	    8.77	  8.91	        9.02          0              0              0              0              8       8       8       8       8       8       0
305       1       3      1          20         12.04	    20.18	 27.76	      34.80	   41.31	47.33	     52.86	  57.94	       62.57	    66.78	  70.59	        74.02	      77.09	    79.82	  82.23	        84.34	      86.16	    87.73	  89.05	        90.16         0              0              300            0              9       9       9       9       9       9       0
306       1       3      1          20         1.20	    2.02	 2.78	      3.48	   4.13	        4.73	     5.29	  5.79	       6.26	    6.68	  7.06	        7.40	      7.71	    7.98	  8.22	        8.43	      8.62	    8.77	  8.91	        9.02          0              0              302            0              10      10      10      10      10      10      0
307       1       3      1          20         1.20	    2.02	 2.78	      3.48	   4.13	        4.73	     5.29	  5.79	       6.26	    6.68	  7.06	        7.40	      7.71	    7.98	  8.22	        8.43	      8.62	    8.77	  8.91	        9.02          0              0              303            0              11      11      11      11      11      11      0
308       1       3      1          20         1.20	    2.02	 2.78	      3.48	   4.13	        4.73	     5.29	  5.79	       6.26	    6.68	  7.06	        7.40	      7.71	    7.98	  8.22	        8.43	      8.62	    8.77	  8.91	        9.02          0              0              304            0              12      12      12      12      12      12      0
309       1       4      1          20         60.02	    100.90	 138.79	      173.98	   206.56	236.64	     264.31	  289.68       312.84	    333.90	  352.96	370.11	      385.45	    399.10	  411.14	421.68	      430.81	    438.64	  445.27	450.80        0              0              0              0              14      14      14      14      14      14      0
310       1       4      1          20         1.20	    2.02	 2.78	      3.48	   4.13	        4.73	     5.29	  5.79	       6.26	    6.68	  7.06	        7.40	      7.71	    7.98	  8.22	        8.43	      8.62	    8.77	  8.91	        9.02          0              0              307            0              15      15      15      15      15      15      0
311       1       4      1          20         1.20	    2.02	 2.78	      3.48	   4.13	        4.73	     5.29	  5.79	       6.26	    6.68	  7.06	        7.40	      7.71	    7.98	  8.22	        8.43	      8.62	    8.77	  8.91	        9.02          0              0              308            0              16      16      16      16      16      16      0
312       1       5      1          20         12.04	    20.18	 27.76	      34.80	   41.31	47.33	     52.86	  57.94	       62.57	    66.78	  70.59	        74.02	      77.09	    79.82	  82.23	        84.34	      86.16	    87.73	  89.05	        90.16         0              0              305            0              17      17      17      17      17      17      0
313       1       5      1          20         1.20	    2.02	 2.78	      3.48	   4.13	        4.73	     5.29	  5.79	       6.26	    6.68	  7.06	        7.40	      7.71	    7.98	  8.22	        8.43	      8.62	    8.77	  8.91	        9.02          0              0              309            0              18      18      18      18      18      18      0
